song_name,artist,release,lyrics,thumbnail,album,genre,link
Saansein Bhari Hai (Male Version),Raj Barman,2022,"Ankhiyan tu rehan de Dil ko tu kehan de Ankhiyan tu rehan de Dil ko tu kehan de  Isme chaut kaafi hai Dard hai, rone de isko  Saansein bhari hai Saansein bhari hai Udaas jaan hai or jeena jaari hai  Saansein bhari hai Saansein bhari hai Udaas jaan hai or jeena jaari hai  Khushiyan tu rehan de Gam ko tu kehan de Khushiyan tu rehan de Gam ko tu kehan de  Dil par bojh kaafi hai karz hai Lootne de isko  Saansein bhari hai Saansein bhari hai Udaas jaan hai or jeena jaari hai  Saansein bhari hai Saansein bhari hai Udaas jaan hai or jeena jaari hai  Umeedein ishq ki Thamegi nahi maregi nahi  Kya galat hua, kya khata rahi Pata bhi nahi Kahan gir gayi hateli se dua  Saansein bhari hai Saansein bhari hai Udaas jaan hai or jeena jaari hai  Saansein bhari hai Saansein bhari hai Udaas jaan hai or jeena jaari hai",https://i.ytimg.com/vi/6zien8N7pIY/hqdefault.jpg,Best Of Raj Barman,"bangla pop, hindi pop",https://www.youtube.com/results?search_query=Saansein%20Bhari%20Hai%20%28Male%20Version%29%20Raj%20Barman
Sohreyan Da Pind Aa Gaya (Title Track),Gurnam Bhullar,2022,Kehande jhanjhran nu mere nal te chankan ni Manga mere hi kade de nal khankan ni Kehande jhanjhran nu mere nal te chankan ni Manga mere hi kade de nal khankan ni  Aadna guwanda joh haan diya tere Aadna guwanda joh haan diya tere Saak mere jeha tolano na hatt diyan  Sohreyan da pind sara karun shiftan Ni tere narm sabhav de jatt diyan Sohreyan da pind sara karun shiftan Ni tere narm sabhav de jatt diyan  Ho jaado chude waali bah Mere mode utte rakhi Kinniyan ne dil paunje shutt ne Mere bullet ton jadon tera uddu doriyan Kinniyan de sah aage sukhne  Jaado chude wali baah Mere mode utte rakhi Kinniyan ne dil paunje shutt ne Mere bullet ton jadon tera uddu doriyan Kinniyan de sah aage sukhne  Dekh teri meri jodi Mithe gudd di joh rodi Dekh teri meri jodi Mithe gudd di joh rodi Maithon sau sarkar Vekhi patt diyan  Sohreyan da pind sara karun shiftan Ni tere narm sabhav de jatt diyan Sohreyan da pind sara karun shiftan Ni tere narm sabhav de jatt diyan  Kaliriyan de nal tere dildaar ne Kalla kalla taara bann dena ae Pure kardyunga chah tenu lai jana vyah Tikke wich chann jaad dena ae  Kaliriyan de nal tere dildaar ne Kalla kalla taara bann dena ae Pure kardyunga chah tenu lai jana vyah Tikke wich chann jaad dena ae  Oh munda bole ji huzur poora jatti da gurur Latta chumdiyan jhumke di lakk diyan  Sohreyan da pind sara karun shiftan Ni tere narm sabhav de jatt diyan Sohreyan da pind sara karun shiftan Ni tere narm sabhav de jatt diyan,https://i.ytimg.com/vi/KLBcnJuX3uI/hqdefault.jpg,"Ghund Kadh Le Ni Sohreyan Da Pind Aa Gaya - Title Track (From ""Ghund Kadh Le Ni Sohreyan Da Pind Aa Gaya"")","bhangra, punjabi pop",https://www.youtube.com/results?search_query=Sohreyan%20Da%20Pind%20Aa%20Gaya%20%28Title%20Track%29%20Gurnam%20Bhullar
Jaan War Daa,Gurnam Bhullar,2022,Navi navi laggi aapan dovein haan de Tichiyan gallan de sab raaz jaan de  Mere naal khadi kalli tu hi jach di Vekh allahdan te kah vich agg vajj di Teri meri jodi vekhi seene thar di  Gabbru vi nakhro ton jaan war daa Nakhro vi laggiyan da mull taardi Gabbru vi nakhro ton jaan vaar da Nakhro vi laggiyan da mull tardi  Gabbru vi nakhro ton jaan war daa Nakhro vi laggiyan da mull taardi  Ghudde hon lagge chunniyan de rang ne Gal massa hi lakoi balliyan ton sang ne Ghudde hon lagge chunniyan de rang ne Gal massa hi lakoi balliyan ton sang ne Lagadi na ankh hunn mutiyar di  Gabbru vi nakhro ton jaan war daa Nakhro vi laggiyan da mull taardi Gabbru vi nakhro ton jaan vaar da Nakhro vi laggiyan da mull tardi  Sheesheyan de muhre bada time langda Jatt poori taur da khayaal rakhda Sheesheyan de muhre bada time langda Jatt puri taur da khayaal rakhda Chadhdi jaawani chal phire chaadh di  Gabbru vi nakhro ton jaan war daa Nakhro vi laggiyan da mull taardi Gabbru vi nakhro ton jaan vaar da Nakhro vi laggiyan da mull tardi,https://i.ytimg.com/vi/rFlyoZeSTTk/hqdefault.jpg,"Jaan War Daa (From ""Ghund Kadh Le Ni Sohreyan Da Pind Aa Gaya"")","bhangra, punjabi pop",https://www.youtube.com/results?search_query=Jaan%20War%20Daa%20Gurnam%20Bhullar
Mishri Di Dali,Gurnam Bhullar,2022,Kehndi mom dad kar laye main agree Hun tera ni bahana koi challna Band karde flirt ve tu horan naal Tainu yaarian ch time paina kaddna  Joh nitt ban than mere muhre aundiyan ho Joh nitt ban than mere muhre aundiyan Saariyan nu dakkdi phire  Ho munda mishri di dali varga Kudi sambh sambh rakhdi phire Munda mishri di dali warga Kudi sambh sambh rakhdi phire  Ainna vi cute nahiyon sacchi mucchi tu Insta storiyan ch jinna lagda Rahe sara din unjj tan tu online ve Ek mere reply layi kyun maheena lagda  Ainna vi cute nahiyon sacchi mucchi tu Insta storiyan ch jinna lagda Rahe sara din unjj tan tu online ve Ek mere reply layi kyun maheena lagda  Khedu tere nal aitki main kangna ho Khedu tere nal aitki main kangna Gallan pyaar nal dassdi phire  Ho munda mishri di dali varga Kudi sambh sambh rakhdi phire Munda mishri di dali varga Kudi sambh sambh rakhdi phire  Kaddi ghar di sharaab jehi naar teri ve Naina mereyan chon peg kehra laa tan sahi Takkle de wangu karoon sidha tainu ve Nooh bebe ji di mainu tu bana tan sahi  Kaddi ghar di sharaab jehi naar teri ve Naina mereyan chon peg kehra laa tan sahi Takkle de wangu karoon sidha tainu ve Nooh bebe ji di mainu tu bana tan sahi  Rohb maare naale kardi aa addiyan Je tu mardi ae kare naal addiyan Gallan mithiyan naal thugdi phire  Ho munda mishri di dali varga Kudi sambh sambh rakhdi phire Munda mishri di dali varga Kudi sambh sambh rakhdi phire  Ho munda mishri di dali varga Kudi sambh sambh rakhdi phire,https://i.ytimg.com/vi/vnKgoscMOmo/hqdefault.jpg,"Mishri Di Dali (From ""Ghund Kadh Le Ni Sohreyan Da Pind Aa Gaya"")","bhangra, punjabi pop",https://www.youtube.com/results?search_query=Mishri%20Di%20Dali%20Gurnam%20Bhullar
Saheli,Gurnam Bhullar,2022,Dil tod gayi ae kudiye ni Jodna vi aunda ae Gamma tereyan da kar jaani Modna vi aunda ae  Dil tod gayi ae kudiye ni Jodna vi aunda ae Kamma tereyan da kar jaani Modna vi aunda ae  Agg tere viah di khushi vich lavange Jaanjh tere gate aggo di langawange  Ni teri saheli nu viahke lavange Teri saheli nu viahke lavange Saak tere pind kudiye karawange Ni teri saheli nu viahke lavwange  Ginne ni taare nahiyo takni aa botalan Ronaka nal bharni aa hor yara mehfilan Ho ronaka naal bharni aa hor yara mehfilan  Soor 25 poore gin ke savavange Main keha khara vi sadeek da lavange Ni teri saheli nu viahke lavange Teri saheli nu viahke lavange  Bada hu pyaar waala sohreyan de pind nu Jaandi ni billo meri mitraan di hind nu Jaandi ni billo meri mitraan di hind nu  Gallan banankar vi sajavange Khad fer nitt bhangda vi pavange  Ni teri saheli nu viahke lavange Teri saheli nu viahke lavange Saak tere pind kudiye karavange Ni teri saheli nu viahke lavange,https://i.ytimg.com/vi/XzKw3bjTXts/hqdefault.jpg,"Saheli (From ""Ghund Kadh Le Ni Sohreyan Da Pind Aa Gaya"")","bhangra, punjabi pop",https://www.youtube.com/results?search_query=Saheli%20Gurnam%20Bhullar
Chaiyaan Mein Saiyaan Ki,"Mithoon, Asees Kaur, Jubin Nautiyal, Keshav Anand",2022,Pee mohe dhun tune aisi lagayi Mann mein kahin tori preet jagayi Ankhiyan ve ankhiyan nu kol bulave Aayi ve tohre paas main aayi  Chaiyaan mein tore saiyaan ji Chaiyaan mein tore saiyaan ji Chaiyaan mein tore saiyaan ji Chaiyaan mein tore saiyaan ji  Mohe yoon hi tu rakhna ji Mohe yoon hi tu rakhna ji Chaiyaan mein tore saiyaan ji Chaiyaan mein tore saiyaan ji  Sajna haan tore preet mein Saaton janam bitana  Taras gaye the nain mere Tere chehre ke is noor ko Rab ne milaya hai humko Phir rehna kaahe door ko  Ankhiyan ve ankhiyan nu kol bula le Aayi to more paas ve aayi  Chaiyaan mein tore saiyaan ki Chaiyaan mein tore saiyaan ki Chaiyaan mein tore saiyaan ki Chaiyaan mein tore saiyaan ki  Sajni yoon hi tu rehna ji Sajni yoon hi tu rehna ji Chaiyaan mein tore saiyaan ki Chaiyaan mein tore saiyaan ki  Deen ilahi mera maan hai maahi Main to sajda karun unko Farz rubayi meri farz gawayi meri Ishq hua mujhko  Chaiyaan mein tore saiyaan ki Chaiyaan mein tore saiyaan ki Chaiyaan mein tore saiyaan ki Chaiyaan mein tore saiyaan ki  Saiyaan ji,https://i.ytimg.com/vi/iBeQCYmaCMc/hqdefault.jpg,Khuda Haafiz - Chapter 2 Agni Pariksha (Original Motion Picture Soundtrack),kannada pop,https://www.youtube.com/results?search_query=Chaiyaan%20Mein%20Saiyaan%20Ki%20Mithoon%2C%20Asees%20Kaur%2C%20Jubin%20Nautiyal%2C%20Keshav%20Anand
Rubaru,"Vishal Mishra, Asees Kaur",2022,Lobaan ke dhuyein sa faila hai charsu Tu laapta hai fir bhi har ore tu hi tu  Lobaan ke dhuyein sa faila hai charsu Tu laapta hai fir bhi har ore tu hi tu Main hoon fakeer tera rakh mera aabru Hameed bekasha hai itni si aarzu  Tu mere rubaru ho main tere rubaru Tu mere rubaru ho main tere rubaru  Sarphiri hawa rok de zara Tune jo banaya jo wo bigaadne na de Meri haar mein teri haar hai Haarne na de mujhe tu haarne de  Aise jud mujhse main ghat jaaun maula Tera jo karam ho main chhant jaaun maula  Main shaam ka dhundhlka tu noor hubahu Hameed bekasha hai itni si aarzu  Tu mere rubaru ho main tere rubaru Tu mere rubaru ho main tere rubaru  Ab aan milo more sajan man ki lagan samjho Hai loot rahi dil ko mere ishq kafan samjho Nash nash mein tere tum hi tum Naa bas mein ye man samjho  Mukhdil ho mere dil ke To bin bole sajan samjho  Tu mere rubaru ho main tere rubaru Tu mere rubaru ho main tere rubaru Tu mere rubaru ho main tere rubaru,https://i.ytimg.com/vi/YKhPHVIijqc/hqdefault.jpg,Khuda Haafiz - Chapter 2 Agni Pariksha (Original Motion Picture Soundtrack),"bollywood, hindi pop",https://www.youtube.com/results?search_query=Rubaru%20Vishal%20Mishra%2C%20Asees%20Kaur
Haq Hussain,"Saaj Bhat, Brijesh Shandilya, Anis Ali Sabri, Faruk Kabir",2022,Ragon mein khoon hai Nahi sukoon hai Sahastra kalp mein Bhara junoon hai  Julm ke khilaf Yeh haq ki jung hai Shamshir pe chadha Laahu ka rang hai  Toofan chaal pada Mitaane kaafila Ali ka noor hai na Woh navi ka chain hai  Hussain hai hussain hai Noor-e-haq hussain hai Hussain hai hussain hai Imaam-e-haq hussain hai  Hazar laskaron pe bhaari Nam ek hussain hai Hussain hai hussain hai Noor-e-haq hussain hai  Aasman pe hai adam Jameen hai lahu se nam Sulagti aag narm mein Bhadak rahi hai dum badam  Utha humari jism se Lahu mein ek ubaal hai Aaju ke waste yahan Kadam kadam mazal hai  Tumhe toh ilm hi nahi Zara bhi unke garbh ka Baaha na de kahin tumhe Toofan unke sabar ka  Baaha na de kahin tumhe Toofan unke saabr ka Kehar kehar baras pada Jidhar uthaye nain hai  Hussain hai hussain hai Noor-e-haq hussain hai Hussain hai hussain hai Imaam-e-haq hussain hai  Hazar laskaron pe bhaari Nam ek hussain hai Hussain hai hussain hai Noor-e-haq hussain hai  Haan ali Haan ali  Har daur uthegi Haathe liye shamshir Har baar tootegi Boorai ki janjir  Har daur uthegi Haathe liye shamshir Har baar tootegi Boorai ki janjir  Jung ki dahad hai Sar pe junoon sawar hai Naa behne ka hai dar ise Lahu ki yeh lalkaar hai Vivayate hussain hi mazboot hai  Hussain hai hussain hai Noor-e-haq hussain hai Hussain hai hussain hai Imaam-e-haq hussain hai  Hussain hai hussain hai Noor-e-haq hussain hai,https://i.ytimg.com/vi/zEvspSD7O0w/hqdefault.jpg,Unknown,Unknown,https://www.youtube.com/results?search_query=Haq%20Hussain%20Saaj%20Bhat%2C%20Brijesh%20Shandilya%2C%20Anis%20Ali%20Sabri%2C%20Faruk%20Kabir
Aaja Ve,Vishal Mishra,2022,"Chhod ke jaane wale chhod raha kyon Itna bata de itna bata de Ishq khuda hai toh phir hai juda kyun Itna bata de itna bata de  Raah dikha de yaa rait bana de Ke yeh gam ki sham dhale Aaja ve, aaja ve Na jaa ve, na jaa ve  Raah dikha de yaa rait bana de Ke yeh ghum ki sham dhale Aaja ve, aaja ve Na jaa ve, na jaa ve  Hum ishq dua padhte the Raanjha banke phirte thhe Tune kitna bhi toda Hum toot'te the judte the  Saundhi saundhi si khushboo Jab phool khila karte the Chahe dhoop ho ya ho tufaan Hum saath chala karte the  Puchhna hai ae khudaaya Dil kyun dukha diya Jaanta tha jaan hai wo Fir bhi juda kiya  Itna bata de ya raah dikha de Ke ye gam ki shaam dhale Aaja ve, aaja ve Na jaa ve, na jaa ve  Phirat hai ram jatan kar van van Kaise viyog sahe Kaise siya se apni siya se Raghuvar door rahe  Phirat hai ram jatan kar van van Kaise viyog sahe Kaise siya se apni siya se Raghuvar door rahe  Aaja ve!",https://i.ytimg.com/vi/wUQ0IKLH-R0/hqdefault.jpg,Hits Of Vishal Mishra,"bollywood, hindi pop",https://www.youtube.com/results?search_query=Aaja%20Ve%20Vishal%20Mishra
Bajre Da Sitta (Title Song),"Jyotica Tangri, Noor Chahal",2022,"Bajre da sitta Bajre da sitta ve assa Talli te marodeya Ruthda jaanda mahiya Ruthda jaanda mahiya ve assa Gali vichon modeya bajre da sitta  Behke tere saahvein Sajjna dil da haal sunawan Shala kidhre din aa jaave Dars tera main paawan  Kade vi door na hovan, shawa Gaman vich choor na hovan  Mishri ton mitha Mishri ton mitha ae To nimm naalon kaudeya Bajre da sitta  Baajre da sitta ve assa Talli te marodeya Ruthda jaanda mahiya Ruthda jaanda mahiya ve assa Gali vichon modeya bajre da sitta  Pachhon khandi pura satauna Baddal agg hai launda Puchhdiyan mainu payian kaniyan Dhola kadon hai aunda  Main tere naal hi jeyona shawa Tere bin main nahiyo hona Ishqe ton bina Ishqe ton bina kade Kujh vi na audeya  Bajre da sitta Bajra da sitta ve assa Talli te marodeya Ruthda jaanda mahiya Ruthda jaanda mahiya ve assa Gali vichon modeya bajre da sitta",https://i.ytimg.com/vi/I5Mk3vKkwYg/hqdefault.jpg,Bajre Da Sitta (Original Motion Picture Soundtrack),bhangra,https://www.youtube.com/results?search_query=Bajre%20Da%20Sitta%20%28Title%20Song%29%20Jyotica%20Tangri%2C%20Noor%20Chahal
